"Reduz","Lote","Calo_Pe","Alojamento","Alojadas","Abatidas","% Mort","morte_perc","Idade","P.M.","densidade","C.A.","C.A.C.","viabilidade_lote","GPD","fator_prod","IEP","peso_total","pgto_ave_produtor","pag_ave","Custo Fomento","Custo Pinto","Custo Racao","Custo Medic","Custo FV","Custo Pega","Custo Integrado","controle_laudo","Custo Granja","Custo Plataforma","pgto_liquido_produtor","tipo_galpao","Pgto_Ave_Bon","vlr_med_peso","vlr_contribuicao_sind","IEL"
"#","7106","34,5","2025-10-28 00:00:00.000","13200","12614","4,44","4,44","47,81","3,444","11","1,743","1,689","95,56","72,04","394,93","240,14","43440","1,538783","1,5","0","0,3844","3,061","0,0243","0","0","0,4356","N","3,9053","3,9053","18921","semi-automatizado","0,1214","0,037","0","14"
"#","7474","22,5","2025-11-17 00:00:00.000","32500","30910","4,89","4,89","27,07","1,388","13,54","1,573","1,976","95,11","51,27","310,03","187,65","42910","1,514895","1,38","0","1,9548","2,6703","0,0014","0","0","0,9941","N","5,6206","5,6206","42655,8","","0,1975","0,038","0","16"
"#","5619","70,65","2025-10-21 00:00:00.000","51000","46672","8,49","8,49","43,4","3,077","14,17","1,604","1,631","91,51","70,9","404,48","235,55","143610","2,214899","1,58","0","0,8367","2,5768","0,0477","0","0","0,5135","N","3,9747","3,9747","73741,76","Dark","0,6674","0,078","0","22"
"#","4046","9,71","2025-10-21 00:00:00.000","57200","55291","3,34","3,34","47","3,427","14,09","1,602","1,552","96,66","72,5","439,95","270,66","189506","1,489","1,489","0","0,8663","2,5873","0,0664","0","0","0,4344","N","3,9544","3,9544","82328,3","Convencional","NULL","0,102","0","12"
"#","4331","54,56","2025-11-06 00:00:00.000","33000","31668","4,04","4,04","41,94","3,191","13,75","1,607","1,609","95,96","76,08","454,33","277,44","101050","1,625975","1,65","0","1,1103","2,7701","0,003","0","0","0,5171","P","4,4005","4,4005","52252,2","Dark","0,0371","0,015","0","17"
"#","4329","53,48","2025-11-08 00:00:00.000","42000","40948","2,5","2,5","40,53","2,929","13,72","1,626","1,686","97,5","72,27","433,34","268,83","119920","1,756625","1,63","0","0,8252","2,7735","0,0109","0","0","0,5566","P","4,1662","4,1662","66745,24","Dark","0,1869","0,027","0","17"
"#","5617","40,81","2025-10-21 00:00:00.000","51000","48333","5,23","5,23","41,95","3,147","14,17","1,547","1,559","94,77","75,02","459,56","277,18","152110","2,346759","1,62","0","0,7899","2,4574","0,0197","0","0","0,5148","P","3,7818","3,7818","78299,46","Dark","0,7268","0,038","0","22"
"#","2810","52,92","2025-10-23 00:00:00.000","26500","25946","2,09","2,09","43,8","3,048","13,09","1,73","1,764","97,91","69,59","393,84","245,37","79080","1,15947","1,2","0","0,7895","2,787","0,0134","0","0","0,3937","P","3,9836","3,9836","31135,2","","0,0173","0,038","0","21"
"#","6906","80,53","2025-10-27 00:00:00.000","34000","32965","3,04","3,04","42,57","2,865","13,28","1,577","1,651","96,96","67,3","413,79","255,26","94430","1,536435","1,55","0","0,8483","2,5455","0,0716","0","0","0,5411","P","4,0065","4,0065","51095,75","","0,0373","0,101","0","19"
"#","4032","50,91","2025-11-06 00:00:00.000","36500","35000","4,11","4,11","40,72","2,711","13,83","1,599","1,708","95,89","66,58","399,25","243,63","94890","1,696475","1,61","0","0,0372","2,6631","0,063","0","0","0,5938","N","3,3571","3,3571","56350","","0,1571","0,092","0","20"
"#","4332","62,25","2025-11-06 00:00:00.000","33000","31815","3,59","3,59","40,93","2,714","13,75","1,632","1,74","96,41","66,31","391,71","240,29","86340","1,176178","1,12","0","1,2995","2,7283","0,0259","0","0","0,4127","P","4,4664","4,4664","35632,8","Dark","0,117","0,049","0","18"
"#","3965","59,25","2025-11-05 00:00:00.000","32000","30653","4,21","4,21","41,94","2,872","13,33","1,746","1,819","95,79","68,48","375,69","228,99","88030","1,211796","1,1","0","0,8564","2,9429","0,0188","0","0","0,383","N","4,2011","4,2011","33718,3","Dark","0,1976","0,027","0","22"
"#","4045","8,05","2025-10-22 00:00:00.000","57000","55034","3,45","3,45","47","3,487","14,04","1,582","1,518","96,55","73,5","452,79","278,19","191906","1,687721","1,531","0","0,8524","2,5577","0,0656","0","0","0,4391","N","3,9148","3,9148","84257,05","Convencional","NULL","0,101","0","9"
"#","2575","23,9","2025-10-21 00:00:00.000","30800","30114","2,23","2,23","43,69","3,244","12,83","1,632","1,622","97,77","74,25","444,82","276,78","97690","1,828439","1,75","0","0,7428","2,5853","0,0019","0","0","0,5395","P","3,8695","3,8695","52699,5","Dark","0,1579","0,018","176,56","24"
"#","7539","78,4","2025-11-08 00:00:00.000","40640","39261","3,39","3,39","45","3,209","12,7","1,69","1,688","96,61","70,5","407,65","250,57","125970","1,455293","1,536","0","0,9259","2,6685","0,0407","0","0","0,4787","N","4,1138","4,1138","60304,9","Convencional","NULL","0,049","0","16"
